efeito_fixo;offer;contract;satisfaction_score;flg_internet_service;qtd_modelos
flg_online_security;1;1;1;1;4
number_of_referrals;1;1;1;1;4
tx_concentracao_cobranca_mes_q3;1;1;1;1;4
flg_married;1;1;1;1;4
number_of_dependents;1;1;1;1;4
age;1;1;1;1;4
internet_type_Fiber_Optic;1;1;1;1;4
cltv;1;1;1;1;4
county_Colusa_County;1;1;1;1;4
county_Lassen_County;1;1;1;1;4
condado_idade_mediana_habitantes;1;1;1;1;4
satisfaction_score_4;1;1;0;1;3
satisfaction_score_5;1;1;0;1;3
satisfaction_score_3;1;1;0;1;3
contract_Two_Year;1;0;1;1;3
monthly_charge;1;1;1;0;3
flg_premium_tech_support;1;1;1;0;3
contract_One_Year;1;0;1;1;3
county_Mendocino_County;1;1;1;0;3
tx_contrib_cobrancas_extras_cobranca_geral;1;1;1;0;3
county_El_Dorado_County;1;0;1;1;3
avg_monthly_long_distance_charges;1;1;1;0;3
condado_renda_familiar_mediana;1;0;1;1;3
county_Shasta_County;1;0;1;1;3
county_Plumas_County;1;0;1;1;3
county_Trinity_County;1;0;1;1;3
county_Tuolumne_County;1;0;1;1;3
valor_cobranca_geral;1;1;0;1;3
total_charges;1;0;1;1;3
flg_streaming_music;1;1;1;0;3
county_Santa_Barbara_County;1;1;0;1;3
offer_Offer_E;0;1;1;1;3
offer_Offer_A;0;1;1;1;3
qtd_streamings;0;1;1;1;3
internet_type_None;1;1;0;0;2
county_San_Diego_County;1;1;0;0;2
qtd_servicos_principais;1;1;0;0;2
county_Lake_County;1;1;0;0;2
county_Nevada_County;1;1;0;0;2
county_Tulare_County;1;0;1;0;2
county_Fresno_County;1;1;0;0;2
flg_online_backup;1;0;1;0;2
county_San_Mateo_County;1;0;1;0;2
county_Monterey_County;1;0;0;1;2
county_Mariposa_County;0;1;0;1;2
county_Tehama_County;0;1;0;1;2
qtd_servicos_adicionais;0;1;0;1;2
county_Modoc_County;0;1;0;1;2
county_Siskiyou_County;0;1;0;1;2
county_Calaveras_County;0;1;0;1;2
flg_phone_service;0;0;1;1;2
county_Ventura_County;0;0;1;1;2
county_Santa_Cruz_County;0;0;1;1;2
condado_indice_gini_desigualdade_renda;0;0;1;1;2
county_Contra_Costa_County;0;0;1;1;2
county_Santa_Clara_County;0;0;1;1;2
condado_densidade_populacional;0;0;1;1;2
flg_streaming_tv;1;0;0;0;1
flg_streaming_movies;1;0;0;0;1
total_long_distance_charges;0;0;1;0;1
flg_device_protection_plan;0;0;0;1;1
flg_multiple_lines;0;0;0;1;1
condado_tx_habitantes_homens;0;0;0;1;1
county_Solano_County;0;0;0;1;1
condado_tx_habitantes_menor_18_anos;0;0;0;1;1
county_Inyo_County;0;0;0;1;1
county_Napa_County;0;0;0;1;1
county_Stanislaus_County;0;0;0;1;1
county_Glenn_County;0;0;0;1;1
county_San_Benito_County;0;0;0;1;1
county_Humboldt_County;0;0;0;1;1
county_Imperial_County;0;0;0;1;1
county_Yolo_County;0;0;0;1;1
county_Madera_County;0;0;0;1;1
county_Marin_County;0;0;0;1;1
county_Orange_County;0;0;0;1;1
county_Los_Angeles_County;0;0;0;1;1
county_Kern_County;0;0;0;1;1
county_San_Francisco_County;0;0;0;1;1
condado_area_terra_m2;0;0;0;1;1
